input_data,expected_output
Memantine HCL,memantine hydrochloride
Ppaliperidone (3-month),paliperidone
Trazidine,trazodone
Trazodone HCL,trazodone hydrochloride
Amitriptyline HCl,amitriptyline hydrochloride
Amitriptyline,amitriptyline
Ropiniroy,ropinirole
LePax,escitalopram
Mirtazapine Orodispersible,mirtazapine oral product
Mirtazapine Soltab,mirtazapine oral tablet
Mirtazapine,mirtazapine
Lyrica (Pregabalin),pregabalin
Panbesy,phentermine
Risperidex,risperidone
Carbamazepine CR,carbamazepine
Carbamazepine,carbamazepine
Dilatin,phenytoin
Xenical Orlistat,orlistat
Atomoxetine,atomoxetine
Fluvoxamine (Faverin),fluvoxamine
Faverin 50,fluvoxamine
Arip,aripiprazole
Selegin,selegilene
Quetiapine,quetiapine
Queriapine,quetiapine
Hydroxyzine Antihistamines,hydroxyzine
Imipramine,imipramine
Xanax Alprazolam,alprazolam
Neurontin Gabapentin,gabapentin Oral Tablet [Neurontin]
Clonotril,clonazepam
Clonazepam,clonazepam
Clonotril 0.5,clonazepam
Timoptol-XE,Timoptol
Timoptol (L Eye),Timoptol
Nexpro,esomeprazole
Esomeprazole Gastro-resistant,esomeprazole
Esoz,esomeprazole
Meteochloramide,esomeprazole
Daivonex Cream,calcipotriol
